iter	Passed	Remaining
0	407	324468
1	812	322781
2	1206	319236
3	1616	320479
4	2020	320018
5	2384	314391
6	2777	313431
7	3151	310785
8	3518	308033
9	3919	308480
10	4305	307645
11	4651	304273
12	5003	301759
13	5398	301930
14	5795	302163
15	6197	302518
16	6573	301595
17	6961	301297
18	7331	300218
19	7724	300087
20	8105	299519
21	8473	298493
22	8860	298165
23	9220	296984
24	9618	297025
25	10004	296660
26	10379	295999
27	10784	296175
28	11142	295087
29	11537	294980
30	11915	294421
31	12276	293478
32	12676	293485
33	13097	293912
34	13509	294117
35	13863	293053
36	14206	291814
37	14587	291360
38	14961	290795
39	15314	289823
40	15682	289171
41	16071	288899
42	16438	288244
43	16789	287332
44	17148	286576
45	17520	286041
46	17904	285702
47	18295	285487
48	18652	284736
49	19067	284874
50	19424	284129
51	19796	283626
52	20156	282951
53	20548	282735
54	20940	282510
55	21327	282206
56	21736	282195
57	22128	281950
58	22518	281674
59	22880	281053
60	23238	280387
61	23599	279772
62	23964	279210
63	24359	278993
64	24750	278730
65	25099	278000
66	25468	277488
67	25841	277030
68	26199	276421
69	26555	275802
70	26927	275338
71	27314	275044
72	27692	274648
73	28059	274145
74	28422	273618
75	28813	273351
76	29180	272857
77	29568	272565
78	29951	272219
79	30327	271812
80	30699	271372
81	31057	270804
82	31457	270608
83	31837	270238
84	32225	269937
85	32630	269774
86	33023	269503
87	33420	269262
88	33781	268732
89	34158	268332
90	34551	268058
91	34941	267757
92	35296	267188
93	35694	266951
94	36099	266754
95	36436	266062
96	36818	265699
97	37200	265340
98	37543	264698
99	37940	264441
100	38319	264063
101	38715	263799
102	39077	263298
103	39444	262837
104	39822	262448
105	40208	262113
106	40598	261806
107	40961	261319
108	41331	260880
109	41724	260586
110	42103	260208
111	42497	259917
112	42883	259580
113	43235	259031
114	43604	258594
115	43982	258208
116	44379	257935
117	44757	257545
118	45146	257218
119	45508	256742
120	45901	256438
121	46254	255913
122	46641	255579
123	47015	255170
124	47384	254736
125	47780	254449
126	48151	254025
127	48503	253508
128	48866	253047
129	49235	252616
130	49597	252153
131	49963	251712
132	50341	251330
133	50732	251009
134	51089	250529
135	51487	250245
136	51863	249851
137	52255	249539
138	52609	249043
139	53002	248731
140	53392	248409
141	53749	247928
142	54092	247390
143	54477	247038
144	54846	246619
145	55238	246305
146	55641	246034
147	56029	245697
148	56386	245225
149	56742	244749
150	57148	244490
151	57529	244120
152	57905	243733
153	58276	243324
154	58633	242856
155	58985	242369
156	59369	242017
157	59783	241782
158	60150	241358
159	60496	240852
160	60875	240475
161	61264	240142
162	61625	239694
163	61977	239216
164	62337	238769
165	62733	238462
166	63077	237955
167	63444	237540
168	63817	237145
169	64174	236689
170	64573	236392
171	64966	236071
172	65318	235600
173	65707	235264
174	66099	234934
175	66484	234586
176	66886	234290
177	67289	234000
178	67672	233639
179	68051	233266
180	68437	232912
181	68813	232528
182	69169	232076
183	69523	231620
184	69878	231165
185	70282	230874
186	70678	230556
187	71069	230219
188	71450	229851
189	71849	229540
190	72234	229182
191	72602	228773
192	72948	228294
193	73324	227911
194	73718	227581
195	74089	227181
196	74457	226773
197	74841	226413
198	75240	226099
199	75597	225657
200	75976	225284
201	76364	224936
202	76744	224563
203	77113	224158
204	77488	223770
205	77868	223400
206	78253	223042
207	78631	222662
208	79008	222283
209	79407	221963
210	79785	221583
211	80136	221132
212	80523	220778
213	80901	220398
214	81296	220066
215	81634	219582
216	82019	219223
217	82409	218877
218	82789	218504
219	83188	218180
220	83586	217854
221	83953	217447
222	84352	217121
223	84766	216836
224	85135	216433
225	85540	216121
226	85919	215744
227	86294	215358
228	86642	214903
229	87024	214533
230	87390	214125
231	87797	213816
232	88189	213471
233	88543	213034
234	88913	212636
235	89305	212289
236	89674	211889
237	90044	211490
238	90440	211154
239	90842	210829
240	91219	210448
241	91620	210121
242	91994	209731
243	92371	209350
244	92765	209005
245	93121	208577
246	93504	208209
247	93858	207774
248	94228	207378
249	94599	206982
250	94987	206625
251	95362	206240
252	95751	205885
253	96152	205554
254	96512	205136
255	96890	204757
256	97240	204317
257	97640	203985
258	98046	203664
259	98412	203260
260	98786	202872
261	99172	202509
262	99550	202129
263	99923	201738
264	100300	201358
265	100670	200962
266	101047	200580
267	101435	200222
268	101806	199827
269	102146	199375
270	102490	198929
271	102863	198541
272	103211	198104
273	103602	197752
274	103979	197372
275	104373	197023
276	104717	196581
277	105107	196225
278	105489	195854
279	105897	195531
280	106243	195095
281	106646	194761
282	107049	194429
283	107428	194051
284	107798	193659
285	108167	193264
286	108549	192892
287	108959	192570
288	109339	192195
289	109700	191787
290	110086	191422
291	110458	191033
292	110832	190646
293	111217	190279
294	111592	189896
295	111982	189537
296	112356	189153
297	112746	188793
298	113115	188400
299	113521	188066
300	113898	187686
301	114294	187336
302	114684	186978
303	115046	186572
304	115401	186155
305	115770	185762
306	116143	185375
307	116549	185041
308	116920	184651
309	117294	184265
310	117675	183891
311	118028	183474
312	118393	183074
313	118741	182650
314	119095	182235
315	119477	181862
316	119840	181461
317	120208	181069
318	120563	180656
319	120939	180275
320	121309	179885
321	121658	179464
322	122049	179106
323	122408	178701
324	122753	178275
325	123135	177904
326	123483	177483
327	123847	177087
328	124243	176735
329	124611	176344
330	125004	175988
331	125372	175597
332	125740	175205
333	126124	174837
334	126508	174468
335	126919	174136
336	127303	173767
337	127671	173376
338	128031	172975
339	128398	172582
340	128797	172233
341	129180	171863
342	129546	171470
343	129934	171105
344	130276	170681
345	130642	170288
346	131038	169934
347	131437	169584
348	131845	169245
349	132258	168913
350	132630	168527
351	133013	168156
352	133394	167782
353	133767	167397
354	134174	167056
355	134562	166691
356	134934	166306
357	135321	165939
358	135687	165545
359	136086	165193
360	136414	164755
361	136764	164344
362	137150	163976
363	137567	163644
364	137948	163270
365	138315	162879
366	138706	162516
367	139094	162151
368	139454	161752
369	139866	161413
370	140270	161065
371	140643	160681
372	141011	160291
373	141392	159916
374	141770	159539
375	142159	159173
376	142521	158777
377	142878	158375
378	143266	158008
379	143659	157646
380	144041	157273
381	144445	156923
382	144823	156544
383	145195	156161
384	145583	155793
385	145991	155447
386	146364	155063
387	146755	154698
388	147111	154296
389	147486	153915
390	147867	153540
391	148241	153157
392	148605	152765
393	148979	152382
394	149350	151997
395	149748	151638
396	150118	151252
397	150495	150873
398	150879	150500
399	151282	150147
400	151672	149780
401	152050	149402
402	152408	149004
403	152773	148614
404	153159	148243
405	153544	147871
406	153935	147505
407	154320	147134
408	154690	146748
409	155060	146361
410	155412	145958
411	155763	145555
