iter	Passed	Remaining
340	1577313	3048239
341	1582054	3043836
342	1586699	3039245
343	1591254	3034485
344	1595936	3029965
345	1600596	3025405
346	1605207	3020751
347	1609777	3016019
348	1614359	3011311
349	1618946	3006615
350	1623557	3001962
351	1628190	2997350
352	1632786	2992670
353	1637553	2988303
354	1642218	2983748
355	1646807	2979055
356	1651476	2974508
357	1656069	2969823
358	1660781	2965351
359	1665498	2960885
360	1670240	2956463
361	1674847	2951802
362	1679596	2947391
363	1684245	2942802
364	1688795	2938041
365	1693389	2933358
366	1697892	2928517
367	1702515	2923885
368	1707106	2919197
369	1711791	2914671
370	1716457	2910112
371	1721123	2905553
372	1725817	2901039
373	1730509	2896521
374	1735240	2892067
375	1739859	2887425
376	1744516	2882848
377	1749191	2878299
378	1753750	2873560
379	1758319	2868837
380	1762958	2864229
381	1767558	2859557
382	1772188	2854935
383	1776864	2850387
384	1781496	2845767
385	1786113	2841123
386	1790643	2836342
387	1795117	2831473
388	1799810	2826952
389	1804394	2822257
390	1808991	2817584
391	1813545	2812845
392	1818058	2808043
393	1822594	2803280
394	1827261	2798716
395	1831976	2794227
396	1836535	2789497
397	1841102	2784783
398	1845709	2780128
399	1850408	2775612
400	1855031	2770982
401	1859569	2766225
402	1864170	2761563
403	1868814	2756964
404	1873426	2752317
405	1878133	2747811
406	1882763	2743191
407	1887488	2738708
408	1892007	2733928
409	1896640	2729312
410	1901321	2724765
411	1905897	2720066
412	1910521	2715439
413	1915165	2710838
414	1919737	2706136
415	1924364	2701511
416	1928978	2696868
417	1933483	2692074
418	1938087	2687420
419	1942716	2682799
420	1947321	2678145
421	1951946	2673519
422	1956591	2668920
423	1961299	2664406
424	1966057	2659960
425	1970727	2655393
426	1975447	2650893
427	1980005	2646176
428	1984656	2641582
429	1989283	2636956
430	1993933	2632362
431	1998530	2627697
432	2003143	2623054
433	2007687	2618320
434	2012279	2613649
435	2016949	2609081
436	2021513	2604375
437	2026156	2599771
438	2030769	2595129
439	2035355	2590452
440	2040022	2585879
441	2044634	2581235
442	2049306	2576667
443	2053941	2572053
444	2058498	2567341
445	2063178	2562782
446	2067819	2558175
447	2072451	2553556
448	2076990	2548823
449	2081496	2544050
450	2086035	2539320
451	2090718	2534764
452	2095346	2530142
453	2099958	2525501
454	2104502	2520777
455	2109209	2516249
456	2113849	2511641
457	2118466	2507006
458	2123039	2502319
459	2127602	2497619
460	2132288	2493066
461	2136934	2488465
462	2141566	2483847
463	2146108	2479125
464	2150620	2474369
465	2155205	2469698
466	2159853	2465100
467	2164536	2460541
468	2169272	2456042
469	2173912	2451432
470	2178608	2446887
471	2183386	2442432
472	2187981	2437772
473	2192475	2433000
474	2197042	2428309
475	2201655	2423670
476	2206224	2418984
477	2210835	2414343
478	2215447	2409704
479	2220049	2405053
480	2224750	2400510
481	2229299	2395802
482	2233956	2391212
483	2238621	2386629
484	2243288	2382048
485	2247935	2377446
486	2252533	2372792
487	2257288	2368302
488	2261883	2363645
489	2266508	2359018
490	2271101	2354359
491	2275771	2349780
492	2280407	2345165
493	2285150	2340659
494	2289725	2335982
495	2294328	2331333
496	2298918	2326671
497	2303627	2322130
498	2308317	2317569
499	2313024	2313024
500	2317731	2308479
501	2322500	2303994
502	2327137	2299378
503	2331755	2294743
