iter	Logloss
0	0.6292634296
100	0.5831583097
200	0.5673941715
300	0.5529921362
400	0.5392514659
500	0.5264553926
600	0.5138513245
700	0.5022749082
800	0.4905442801
900	0.4788908347
988	0.4689276755
